video,si,ti,e,h,mvResMean,mvResStf,mvResMin,mvResMax,pixVarMean,pixVarStd,pixVarMin,pixVarMax,kpsnr,kssim,kvmaf
Busy_City_s019,41.5544,6.10839,34.8917,6.3828,87564.65,311034.3994,32319,3459132,2231.6,30.42,2182.07,2279.47,143854.559,3279.082044,291587.8324
Busy_City_s020,34.338,11.567,24.6083,13.6677,130943.625,314657.5954,61170,3537449,1970.23,388.18,1454.04,2576.51,138515.6515,3254.818168,269113.9918
Busy_City_s021,32.7794,6.8029,24.9083,8.7228,91115,134998.5349,18776,1383480,1907.85,319.38,1455.84,2398.65,141190.6177,3260.952614,266925.0084
Busy_City_s022,29.2655,3.13662,20.8333,2.5819,39912.95833,160908.1001,16954,1787116,2118.34,3.97,2107.02,2122.76,158464.8817,3313.327662,302127.0706
Busy_City_s023,28.2769,2.98301,18.6583,2.9089,34264.31667,167808.5573,7707,1853781,1606.79,191.41,1302.74,2126.09,156330.3818,3304.787426,298408.6438
Busy_City_s024,29.9242,3.91873,18.9333,2.3901,31195.81667,167110.818,9005,1846152,1595.44,15.6,1559.02,1622.11,165248.9338,3323.322909,315381.7896
Childs_Play_s000,32.5739,4.30521,43.7917,7.5541,94167.025,120055.2082,0,756866,1405.51,559.76,0.00,1775.55,142087.8381,3265.995387,273849.5778
Childs_Play_s001,28.8975,3.98623,26.3417,6.1078,96126.00833,346646.7246,9943,3717834,1741.77,117.17,1495.42,1841.49,148618.5044,3286.324667,276977.7332
Childs_Play_s002,26.2859,3.9738,17.2083,4.1771,41826.10833,130345.607,7344,1451727,1746.85,103.33,1533.20,1836.41,156143.3309,3306.974179,289159.1039
Childs_Play_s003,27.7973,10.4848,22.4167,11.0221,82373.8,163078.7031,40563,1856471,1638.16,85.31,1379.69,1712.74,149546.4629,3291.321056,290213.91
Childs_Play_s004,19.9492,1.10352,11.0417,1.3305,16778.88333,75489.02397,2995,830146,1663.77,62.83,1392.23,1684.14,168932.6047,3327.602214,305130.3269
Childs_Play_s005,19.8971,3.47611,10.975,2.1768,25402.68333,74400.88735,7480,831866,1678.13,34.31,1574.07,1719.36,166928.3305,3324.989761,302145.0933
Childs_Play_s006,21.2154,2.02888,16.1583,3.1966,26494.09167,71504.88956,13690,805680,1889.92,37.99,1690.26,1941.52,154716.9381,3292.323621,285206.7253
Childs_Play_s007,22.5966,2.1048,16.6583,3.0321,33058.04167,104415.3164,10993,1169190,1803.41,114.8,1572.23,1916.86,154867.7587,3294.312382,283915.8485
Childs_Play_s008,25.2435,1.82007,16.175,1.9556,37018.51667,125927.8305,14756,1410150,1712.87,5.72,1703.90,1731.97,164313.3449,3319.929952,306167.6297
Childs_Play_s009,23.2676,5.35562,14.0333,4.2021,48079.65,126329.3903,17950,1420018,1653.35,94.84,1415.41,1718.32,157570.9957,3305.915741,287687.7658
Childs_Play_s010,20.0896,11.3776,9.1583,7.69,59635.775,79719.34394,36548,924152,1663.93,17.64,1637.32,1713.72,156690.0378,3308.887509,278050.414
Childs_Play_s011,20.5581,8.94209,9.9167,6.5313,41804.44167,81949.99042,17127,924984,1666.58,16.61,1639.77,1714.52,159353.2801,3314.261948,286388.8431
Childs_Play_s012,20.6477,1.65305,9.9583,1.8795,21433.45833,94506.10773,4283,1048829,2423.89,581.34,1551.52,2903.99,169820.5343,3329.308085,299188.6707
Childs_Play_s013,21.6254,3.38059,12.3667,2.9565,37602.15,91092.66596,5274,989438,2407.22,562.5,1527.73,2905.2,160003.7103,3310.953067,280106.8064
Childs_Play_s014,24.7925,9.00207,17.9667,5.671,67264.93333,121509.5188,36265,1388030,1817.77,13.54,1795.18,1865.11,151547.4601,3283.542353,269452.1273
Childs_Play_s015,25.0003,6.02037,18.2167,3.6344,49920.758,118356.236,14524,1330726,1796.19,11.97,1782.67,1832.78,155352.0999,3298.110193,282850.3969
Childs_Play_s016,27.9229,4.55198,18.1167,3.4503,41856.95,123447.023,18748,1386230,2448.07,472.02,1788.03,2863.83,150594.4571,3283.975386,273219.0564
Childs_Play_s017,30.2154,1.33038,18.0667,1.4266,42680.791,168846.21,20122,1884211,2830.48,1.26,2827.67,2832.43,155941.441,3305.879045,290633.0152
Childs_Play_s018,30.1994,1.01936,18,1.2981,38898.925,167517.128,18651,1866074,2826.48,0.94,2824.05,2828.26,156495.5121,3307.487987,291179.8568
Eldorado_s001,27.6226,6.35168,22.45,7.7836,129388.7333,387027.8529,40367,4253614,3239.15,481.81,2824.14,3968.12,143605.9603,3275.443464,279222.7628
Eldorado_s002,34.8026,3.28015,31.0583,6.1072,155278.8417,407705.9447,56798,4526311,2632.2,1400.63,901.80,3951.66,141613.3036,3260.371896,284301.0063
Eldorado_s003,38.8134,17.7793,49.4417,25.3103,375429.3583,555998.8103,56499,5973003,1508.8,122.1,1277.94,1819.4,124144.3089,3187.186398,277712.3259
Eldorado_s004,58.5047,22.0686,85.2083,27.5187,650666.2417,659483.8492,316057,7723648,2085.31,118.68,1833.85,2215.57,113939.2753,3052.395315,267015.2606
Eldorado_s005,55.4637,3.40129,100.375,9.2266,412619.5417,1108819.613,196178,9617071,1616.66,171.81,1525.08,2216.03,119704.8681,3113.654432,265593.003
Eldorado_s006,48.0681,4.40633,83.4417,10.4996,308996.4083,907947.5468,74664,10172647,1975.81,364.43,1779.16,2667.35,126155.5141,3179.498243,277326.2823
Eldorado_s007,10.2709,6.93098,14.425,6.3716,81221.775,36784.27163,74078,481142,2728.84,151.29,2613.19,3106.2,142339.8501,3240.901573,246588.0076
Eldorado_s008,11.3488,9.33052,15.2833,7.5488,100119.3417,40932.88318,82144,528914,2807.19,282.44,2089.96,3092.86,138443.3011,3217.076365,235321.6311
Eldorado_s009,10.3548,13.0604,14.35,8.6934,100919.6917,23265.70729,73648,317309,2976.6,288.93,2454.00,3394.8,135858.4,3208.529573,226883.3115
Eldorado_s010,34.4035,15.9688,47.5583,22.5972,329307.4917,180942.3866,0,613799,2068.87,282.98,1405.02,2613.76,114277.3037,2945.124758,179576.3705
Eldorado_s011,39.8074,19.0843,60.8917,28.4841,903527.15,543059.7576,0,4182745,2284.97,340.28,1789.18,2919.91,104115.308,2714.382212,139939.0748
Eldorado_s012,48.4083,11.121,60.575,18.9295,1073360.25,831886.8027,0,5094999,3257.43,255.02,2935.48,3711.5,103212.4018,2814.520748,131290.8123
Eldorado_s013,37.4185,14.1733,37.4667,23.6811,563273.8167,484849.4434,70616,3627420,3025.74,644.34,1521.25,3627.67,111125.0281,3027.075086,163335.1006
Eldorado_s014,21.8987,16.3152,28.9083,33.0319,553983.9583,325834.5725,345764,3494130,2052.64,1065.64,1218.69,3622.74,111689.7176,2953.132799,112994.2217
Eldorado_s015,18.1429,14.0394,23.95,34.2602,471032.0583,36744.85727,403333,771195,1517.2,123.92,1397.02,1890.71,116530.7943,2978.05585,101689.4781
Eldorado_s016,21.5666,13.834,27.225,34.3115,476725.0667,316263.6037,375472,3894504,1878.28,904.12,1257.60,3883.56,115517.2181,2978.495694,101082.3791
Eldorado_s017,43.1053,7.30249,48.725,14.9092,493733.1083,366685.1746,425696,4489167,3857.47,59.81,3746.10,3935.7,118385.3071,3071.14142,205072.0906
Eldorado_s018,30.9621,9.57236,35.9583,14.5351,331748.8083,402962.7836,127839,4367134,3280.71,702.14,2331.23,3959.71,125605.8364,3123.917066,219626.0412
Eldorado_s019,27.8145,12.469,27.8083,13.2198,169085.5583,83056.68375,123545,1005671,3266.42,71.35,2997.63,3360.45,140812.3263,3225.382553,299528.197
Eldorado_s020,17.5612,2.87196,18.1583,5.4785,100243.4917,268328.7268,0,2883027,1626.02,901.75,1054.96,3372.35,146160.0985,3262.892265,276377.5747
Eldorado_s021,27.1819,2.14625,31.0417,4.2268,89694.375,152669.1438,0,1648155,1342.28,97.39,1262.73,1628.15,146930.2377,3276.325642,297220.4643
Eldorado_s022,24.1177,1.73868,28.4417,3.4597,80541.45833,125017.3566,55054,1440194,1711.87,34.22,1637.24,1760.77,149388.4915,3282.194138,302400.2585
Eldorado_s023,19.9672,10.2563,28.275,16.2259,149692.4333,225302.2419,52946,2259313,1320.35,228.26,971.74,1653.18,133824.8539,3167.222892,257001.6529
Eldorado_s024,28.3589,20.4182,37.5,35.0469,276446.825,86595.2868,181687,1026981,1341.4,188.75,944.98,1786.84,119813.6774,2990.170084,217415.1552
Eldorado_s025,32.1871,19.3036,44.9583,33.5665,528328.575,311608.1966,256642,2791710,1308.85,113.76,1116.05,1497.49,108122.6216,2778.314607,134967.9657
Eldorado_s026,24.2655,16.1879,40.4417,24.1716,341665.4583,275714.7992,216252,2413683,925.04,49.9,840.75,1167.56,112408.3766,2829.03408,145804.6006
Eldorado_s027,21.5939,15.1735,34.725,22.2576,261271.425,133116.3945,185282,1636075,901.99,43.75,835.63,970.17,118379.2687,2948.265015,171760.4532
Eldorado_s028,24.3922,15.1568,37.0833,20.432,297093.6167,136467.7367,244988,1766567,756.24,31.51,700.17,842.17,116754.0416,2925.749697,166421.9708
Eldorado_s029,41.7106,21.2881,52.55,31.1111,484039.05,533548.4791,200609,5814146,936.41,100.67,734.16,1115.01,116704.6044,3051.927339,216674.8548
Eldorado_s030,56.5509,13.1776,73.9917,19.1079,517986.225,796360.7592,158334,7174360,1416.61,369.2,867.04,1707.12,116107.714,3084.548684,234909.257
Eldorado_s031,52.9428,12.1122,73.175,16.0255,407597.8583,532254.4458,347475,6212204,1771.58,37.06,1709.00,1833.49,119542.9963,3108.610614,248422.9294
Eldorado_s032,54.6961,9.80965,76.025,14.0631,469655.7333,543758.4825,363088,6394675,1871.54,18.95,1835.12,1900.98,119561.1995,3115.984656,246766.3484
Eldorado_s033,44.7519,4.38051,62.3583,10.2629,375695.775,600864.2795,17069,6644263,1366.2,714.95,20.83,1923.08,125023.8304,3170.999276,249665.7992
Eldorado_s034,70.5166,0.334728,33.375,2.0236,3781.375,7640.443473,0,63639,943.93,464.76,0.00,1224.14,201131.9515,3347.235857,325033.8675
Fun_on_the_river_s000,26.868,4.89632,23.2583,6.7718,111995.1,34385.06022,0,170572,1543.36,617.86,0.00,1889.68,174759.3634,4071.45618,311336.2467
Fun_on_the_river_s002,19.4174,9.83799,18.4,25.1461,233115.8667,100331.4033,151026,1288761,1078.15,209.83,930.31,2009.65,125234.2152,3137.393628,123970.4072
Fun_on_the_river_s003,19.7092,10.1263,18.7417,26.1277,237672.2917,70074.21226,196411,974854,1070.7,64.8,937.93,1196.43,125593.6328,3145.191607,133123.8854
Fun_on_the_river_s004,26.2356,10.2037,26.675,24.0976,465754.725,151376.6771,177716,932753,1383.47,274.41,843.30,1621.38,117753.1211,3072.591127,105904.0166
Fun_on_the_river_s005,30.0923,12.6473,31.6417,30.7935,606665.2,116903.835,529590,1834633,1771.16,104.98,1569.93,1942.16,113152.3055,3016.124773,92628.08966
Fun_on_the_river_s006,28.1464,15.8009,31.0167,41.3912,595067.475,152351.8065,457350,2149450,1915.58,127.64,1617.98,2040.04,111905.3902,2990.851123,83777.444
Fun_on_the_river_s007,23.7185,12.0242,25.6333,28.8211,364393.8917,137824.0871,230848,1615121,1420.84,133.29,1114.88,1631.46,118297.9492,3058.592474,112312.4809
Fun_on_the_river_s008,24.0546,10.7831,26.4667,28.1296,360045.8583,97387.47865,320519,1400235,1495.88,25.1,1458.08,1549.19,119312.3615,3066.107359,120700.0608
Fun_on_the_river_s010,22.2452,15.6573,20.0167,61.7187,509554.4667,82365.72712,408196,913105,1052.42,204.17,809.22,1427.27,116645.7133,3083.131972,67854.73788
Fun_on_the_river_s011,23.1969,12.8471,24.2667,40.5659,461259.1333,183617.7095,202107,1443879,1423.09,106.29,1168.24,1560.55,115243.2636,3036.67285,75529.96968
Fun_on_the_river_s012,24.4633,9.2532,26.4167,18.6038,289751.1667,105019.3615,262215,1428581,1560.29,17.71,1525.08,1598.23,121900.9089,3102.130751,139355.8423
Fun_on_the_river_s013,23.2301,9.63219,25.575,21.8255,289751.1667,105019.3615,262215,1428581,1524.15,107.57,1268.15,1601.97,121266.6621,3092.456356,127018.924
Fun_on_the_river_s014,21.9975,16.208,21.2667,44.9584,407171.2667,68714.45636,342402,981251,1828.14,93.84,1583.06,2016.33,116434.2188,3063.71254,102577.7169
Fun_on_the_river_s015,21.5881,13.3347,20.9583,36.0785,348728.8833,121854.4581,215611,1125832,1587.85,132.88,1345.83,1829.02,118968.9989,3074.503725,94117.43436
Fun_on_the_river_s017,32.9284,19.1114,29.7583,46.7079,819942.3583,191299.921,512756,2413420,1576.57,378.83,1076.80,2443.71,110629.7445,3037.324396,94375.466
Fun_on_the_river_s019,18.8467,13.461,17.65,36.0807,308987.9833,87908.16913,208562,870691,1137.85,131.17,894.47,1331.1,121393.2948,3113.651065,101343.0191
Fun_on_the_river_s020,20.2097,14.0991,20.0167,41.8311,392686.5917,111776.6017,259793,1077467,1178.65,105.87,1022.39,1380.61,117799.4639,3073.230652,78169.7407
Fun_on_the_river_s021,20.3707,7.69046,18.3583,17.9185,172891.5083,89751.76121,117724,773547,1227.8,114.94,902.14,1349.4,129534.6687,3171.641612,156100.1627
Fun_on_the_river_s022,22.4915,6.05748,20.175,10.7158,131872.35,97493.59419,113867,1193910,1275.65,14.74,1250.11,1313.7,134845.8404,3210.050294,208344.7951
Fun_on_the_river_s023,20.9304,9.22936,20.4667,21.7768,241174.6833,136427.8104,114944,1213287,1303.47,165.37,990.57,1532.63,123895.1703,3123.900547,139036.4933
Fun_on_the_river_s024,21.2982,12.8753,22.775,33.5633,375335.6417,73779.66398,333493,1152539,1460.17,29.9,1394.44,1509.36,116375.0905,3041.178293,98596.21524
Fun_on_the_river_s025,21.1763,11.2385,22.85,30.8213,344080.35,83299.7851,209194,1036888,1380.52,95.74,1144.51,1484.3,118590.5625,3064.791567,100325.7367
Fun_on_the_river_s026,23.8938,11.3518,26.5333,30.405,381561,98227.03263,333775,1434593,1438.38,25.82,1380.89,1510.03,118549.5468,3058.916468,113408.2161
Fun_on_the_river_s027,23.7523,10.821,26.4833,28.6854,377434.1333,93340.51522,330310,1370383,1427.63,24.31,1376.61,1474.3,118821.6553,3058.614443,111107.8408
Fun_on_the_river_s028,22.9464,10.3434,25.3667,26.9326,346285.525,99204.02465,141746,1312052,1366.59,196.33,462.46,1451.87,120401.0193,3077.995685,116300.9233
Indoor_Soccer_000,17.5414,11.1183,19.2917,11.0682,177114.125,198003.1842,0,1366250,1377.31,923.49,0.00,2474.7,134841.1506,3184.694859,274329.1015
Indoor_Soccer_001,49.1536,5.13202,36.8417,7.5414,178617.2667,188201.2551,133592,1605092,2842.54,946.19,1006.99,3541.12,134786.6046,3182.17478,288318.1626
Indoor_Soccer_002,21.2497,16.8018,27.0417,15.4827,324080.5,549187.2379,141371,6155892,1762.52,609.18,1164.23,3549.47,125347.9395,3037.643356,225390.2511
Indoor_Soccer_004,18.1026,18.0831,20.925,14.3326,190114.6833,175689.536,99534,1728109,1826.37,733.46,1057.65,3061.92,134594.1895,3187.049598,259512.5328
Indoor_Soccer_005,17.9638,20.7757,16.225,19.3247,121200.6583,83826.59156,84139,814558,2724.88,509.54,1401.80,3136.57,138460.6565,3224.631544,273050.4645
Indoor_Soccer_006,17.1156,15.5273,16.425,12.9105,133136.7667,129586.6042,81871,1354860,1569.18,110.96,1419.38,1741.9,139070.965,3227.743954,268995.7882
Indoor_Soccer_007,18.6945,21.8464,20.1167,20.9505,236040.4,166385.88,114130,1378434,1402.21,440.78,755.19,2142.66,127423.0495,3131.716021,216796.448
Indoor_Soccer_008,13.62,22.8311,17.9333,18.7166,236555.6,207837.7361,57411,1455945,1635.46,523.75,1010.77,2349.94,128453.2037,3137.903368,233532.7337
Indoor_Soccer_009,16.3214,17.4316,16.175,13.1248,156520.9,98227.91793,39656,1017112,2479.7,718.71,1256.95,3260.68,137777.9843,3216.019163,264003.6177
Indoor_Soccer_010,27.8962,8.52796,38.8,10.1145,324863.9167,254236.3138,134323,2342141,1567.24,491.06,1022.63,3248.3,125273.2558,3042.770238,246415.846
Indoor_Soccer_011,29.0615,9.42659,36.125,8.7109,220347.9583,234002.9132,62364,2726331,1700.5,455.98,316.50,1992.37,131795.4071,3148.977211,276058.5757
Indoor_Soccer_012,8.10923,6.68824,7.0167,12.8297,148466.775,445976.5459,0,3282989,410.98,695.04,0.62,2973.54,154657.1734,3300.355309,313012.6453
Indoor_Soccer_013,19.87,20.5859,21.9583,24.8401,283395.4167,182551.2338,0,1368714,1055.9,620.73,0.62,1595.63,128281.4145,3101.024994,259715.774
Indoor_Soccer_015,21.5284,20.1634,30.7667,22.0998,401857.2417,209928.9685,209164,1711440,1236.04,782.81,394.60,2478.29,119049.9315,2914.160794,195925.3035
Indoor_Soccer_016,20.9498,13.5311,28.4833,13.9085,291833.8167,195630.1912,189186,1803037,2282.97,517.36,1299.87,2717.5,125927.9053,3039.605439,245657.6996
Indoor_Soccer_017,24.9057,10.445,36.5417,13.9128,428691.7833,173047.9815,278446,1793445,1687.65,515.72,541.11,2068.93,119439.3262,2887.836887,220384.932
Indoor_Soccer_019,23.307,16.4941,28.9833,17.2889,337362.7833,175175.1824,311,2012367,1776.33,608.7,571.25,2364.08,122674.2437,2981.330352,230370.7781
Indoor_Soccer_020,21.6662,10.7566,30.9583,12.5278,337110.5083,81270.8007,273230,1153527,1182.54,37.69,1120.60,1269.34,122705.2214,2941.588278,223555.0418
Indoor_Soccer_021,26.7161,7.33879,35.2167,10.6202,360775.75,213321.6862,281577,2099653,1464.76,324.57,1167.31,1876.7,124162.753,2992.48066,244532.3695
Indoor_Soccer_022,16.437,5.65326,25.2417,8.3008,290488.5417,171853.7136,253609,2146268,2212.99,264.73,1748.43,2418.67,126805.4147,3002.697829,230876.3476
Indoor_Soccer_023,12.8999,23.0508,17.85,17.8354,219806.1083,125091.9854,104122,972088,1667.86,768.59,549.14,2820.79,125660.5696,3080.219245,216719.5152
Indoor_Soccer_024,13.1386,18.7016,16.25,13.6512,159298.3417,92291.39507,87571,1083830,1170.89,406.32,578.34,1728.57,132358.4955,3140.004291,243509.8816
Indoor_Soccer_025,21.2422,17.2531,28.75,16.0398,345138.2833,236338.2345,158064,2463297,1648.01,1006.08,579.52,2768,121016.0172,2976.366832,213109.8549
Indoor_Soccer_026,30.8683,11.0768,40.1833,13.5968,476266.8333,216759.8341,419527,2831334,2556.97,70.3,2375.29,2643.94,119237.8532,2909.900485,238466.7509
Indoor_Soccer_027,31.931,9.3777,41.4,12.3504,476804.9417,211350.5587,424065,2779628,2269.86,62.55,2198.58,2385.36,119691.9286,2915.199477,241071.1671
Indoor_Soccer_028,32.6444,12.9016,42.2667,16.6063,532371.5583,239782.6726,451457,3112837,2338.49,157.21,2201.01,2703.42,118259.6998,2889.120183,238382.0848
Indoor_Soccer_029,31.5271,8.69525,40.2583,11.8173,468112.675,216404.5514,404797,2819708,2851.88,86.54,2705.81,2966.29,120532.9702,2939.35439,244451.8339
Indoor_Soccer_030,32.7436,7.86912,42,10.906,480449.6917,235327.2056,441463,3044963,2938.76,51.75,2847.14,3000.38,120613.2306,2942.319116,245916.1351
Indoor_Soccer_031,22.0755,18.6506,30.7083,24.2438,423860.75,293037.2406,180943,2979719,1441.95,744.66,541.07,2845.51,119938.5962,2935.285952,215223.2031
Indoor_Soccer_032,18.941,20.5597,25.5,24.7908,307471.3917,130954.4156,194928,1579532,1255.47,322.86,698.84,1662.82,125496.7412,3028.895938,234868.6709
Indoor_Soccer_033,15.9553,24.2005,26.4583,24.3004,351895.6333,79429.20428,254871,917944,929.97,228.61,492.58,1274.91,118937.5582,2919.807628,182625.9206
Indoor_Soccer_034,13.3187,16.7291,16.1167,15.366,145233.5833,143102.5603,90361,1349081,1293.26,465.44,564.63,1834.2,133947.9629,3176.536539,246797.0208
