video,si,ti,e,h,mvResMean,mvResStf,mvResMin,mvResMax,pixVarMean,pixVarStd,pixVarMin,pixVarMax,kpsnr,kssim,kvmaf,kssim_trans,kpsnr_trans,kvmaf_trans
AncientThought_s022,4.27445,2.98993,6.325,2.7527,29476.2,6740.785155,21407,84617,2304.997965,1867.131324,160.7757341,4274.374173,154629.4125,3286.738788,276383.6263,22.17937805,28.59593904,48.44155639
AncientThought_s023,5.61096,3.46706,6.5,4.5387,28510.275,11574.58918,17491,134004,211.5389458,167.2951329,58.9582116,1139.175755,160799.5745,3308.503141,304314.3891,23.02276803,32.02751889,54.92991218
AncientThought_s024,7.2722,6.84138,5.2,4.7389,23526.84167,17198.77877,13616,141538,1127.608751,193.4012643,753.1254485,1670.894216,164765.9884,3321.061448,309318.3049,23.50941474,34.23346841,56.09232892
AncientThought_s025,5.73479,8.69526,5.5833,5.479,32723.5,14413.53619,16480,165207,1036.658582,79.24468932,817.9434453,1238.621978,160858.9855,3313.831902,299088.4183,23.22926277,32.06056072,53.71591175
AncientThought_s026,5.62362,5.72347,6.0167,3.5542,24994.625,9595.394646,17565,91001,1038.417177,211.2936154,782.6172247,1791.87617,162623.9046,3316.10926,305856.5578,23.31751259,33.0421331,55.28816015
AncientThought_s027,6.11623,1.35748,3.1667,3.5873,10702.13333,12418.74921,4777,104862,360.6417937,355.6199634,132.089569,1063.191554,175244.2551,3333.226036,320170.6131,23.98080445,40.06103154,58.6133355
AncientThought_s028,5.02611,3.80015,2.8333,4.6207,11839.94167,5880.161495,6111,65876,61.32176549,47.43082951,32.8970467,342.2407682,174828.1257,3332.942295,315365.5204,23.96980921,39.82959819,57.49710564
Busy_City_s000,18.3076,16.9664,9.3417,12.2843,79504.175,36133.13742,0,152648,1580.674819,629.2038071,0,2155.285053,150364.9196,3293.117195,271327.8351,22.42654757,26.22421076,47.26708892
Busy_City_s001,25.7398,11.7662,18.7083,10.0884,94859.35,98851.22686,45381,1136428,1689.315291,204.9262213,1265.906821,2044.60951,139630.6365,3247.597536,242255.4263,20.66261619,20.25426227,40.51352715
Busy_City_s002,32.4491,6.54991,27.05,5.2378,74052.11667,219268.6851,30377,2451414,1599.984483,59.7741011,1319.257494,1704.232722,144037.9234,3269.058668,275964.4442,21.49425609,22.70540644,48.34417978
Busy_City_s003,21.3778,1.73425,11.6083,2.0847,25357.18333,128403.4701,6131,1417295,1714.040598,184.8220997,1226.598594,1809.302688,164460.5272,3323.198809,305126.5404,23.59223959,34.06358398,55.11857609
Busy_City_s004,20.7021,2.54971,10.9417,2.5681,24358.95833,92340.12127,9748,1026720,1783.773701,14.40915958,1754.568004,1811.546486,161474.5931,3319.32509,294146.8289,23.44212918,32.40293532,52.56797354
Busy_City_s005,19.2588,4.84364,11.7667,4.4154,37777.00833,102223.4361,8281,1142110,1210.778676,323.3610288,917.4856182,1790.210515,155405.955,3304.213285,277973.1476,22.85653191,29.02781875,48.81080443
Busy_City_s006,18.3489,6.45377,11.3667,4.9125,40770.00833,74858.5448,20167,845857,1061.634298,10.00393035,1034.372096,1084.3297,157482.6999,3309.530986,282929.3961,23.06259804,30.18281531,49.962148
Busy_City_s007,18.2893,18.2658,6.6833,5.5916,32044.65833,70316.49135,3438,767493,1639.351557,861.7467116,712.3096434,3381.909005,166970.7753,3327.84659,312425.4466,23.77234564,35.45967644,56.81412233
Busy_City_s008,18.2696,11.8711,10.2917,6.8422,42237.63333,71716.58853,6350,793593,1163.490753,796.2384786,744.9460094,3379.989382,156428.2595,3305.799708,283533.6122,22.91800739,29.59638071,50.10250824
Busy_City_s009,16.2014,5.29122,7.875,4.6502,35377.30833,64854.57933,22408,738627,921.5222869,108.741335,680.0242675,1044.682432,160402.0295,3318.140722,289704.5658,23.39623376,31.80642137,51.53602953
Busy_City_s010,18.6256,5.1314,8.1083,3.9833,34715.96667,51129.7653,20388,581014,1049.747103,31.49541309,969.4577472,1100.470708,165885.8054,3328.114602,303738.561,23.78273139,34.85626266,54.79614649
Busy_City_s011,18.2645,5.60412,7.825,4.4393,35525.35833,63477.66301,15200,717302,1020.904263,28.47206457,963.8700151,1072.736185,166280.4161,3328.321655,304480.056,23.79075487,35.07572819,54.96839683
Busy_City_s012,25.8375,5.67655,17.825,4.778,35208.89167,53886.76313,9070,611218,1380.056373,370.6589421,813.2089223,1781.132873,153906.4533,3301.529596,288362.5477,22.75253636,28.19386007,51.22427682
Busy_City_s013,31.6243,5.6595,23.7833,5.8361,59940.44167,186488.7788,23345,2080519,1753.151093,38.19564964,1724.160751,1891.278544,154414.586,3304.424905,301186.5765,22.86473239,28.47646177,54.20331687
Busy_City_s014,25.504,15.6519,15.5667,15.6548,98051.98333,177001.6718,53725,1997085,1389.504655,758.2474664,811.1539939,3313.638623,142264.6123,3273.447544,262041.1595,21.6643293,21.71916676,45.10978101
Busy_City_s015,21.8409,16.7378,11.4667,13.7387,81525.43333,98271.41013,45991,1105083,1190.361254,710.9789841,621.9694845,3179.920901,144661.2007,3282.45095,263860.8002,22.01322013,23.05204662,45.53248612
Busy_City_s016,21.4792,8.56842,12.4167,8.5454,53378.84167,63264.53027,27291,728140,941.0235336,429.2840031,562.2748491,1697.065816,145134.735,3278.243348,260747.257,21.85017143,23.31540608,44.80920564
Busy_City_s017,20.6739,7.93124,6.1667,3.8397,23116.95833,73398.14688,8142,817443,2126.105168,171.0810458,1455.821622,2383.363138,168526.3016,3329.380064,311777.059,23.83176928,36.32479351,56.66350098
Busy_City_s018,28.7125,7.9396,18.8083,6.661,53579.31667,88145.89863,9360,971062,2164.300503,249.7362524,1613.410013,2703.745315,147554.2069,3287.461734,279546.7636,22.20739293,24.66101272,49.17635767
Busy_City_s019,41.5544,6.10839,34.8917,6.3828,87564.65,311034.3994,32319,3459132,2231.602179,30.42059821,2182.074593,2279.467432,143854.559,3279.082044,291587.8324,21.8826717,22.60342703,51.97351502
Busy_City_s020,34.338,11.567,24.6083,13.6677,130943.625,314657.5954,61170,3537449,1970.232888,388.1783513,1454.039643,2576.512801,138515.6515,3254.818168,269113.9918,20.94242276,19.63415534,46.75281
Busy_City_s021,32.7794,6.8029,24.9083,8.7228,91115,134998.5349,18776,1383480,1907.845937,319.3845478,1455.843164,2398.65119,141190.6177,3260.952614,266925.0084,21.18013855,21.12185701,46.24430605
Busy_City_s022,29.2655,3.13662,20.8333,2.5819,39912.95833,160908.1001,16954,1787116,2118.343482,3.969147457,2107.021654,2122.761752,158464.8817,3313.327662,302127.0706,23.20972295,30.72906275,54.421795
Busy_City_s023,28.2769,2.98301,18.6583,2.9089,34264.31667,167808.5573,7707,1853781,1606.791758,191.4139927,1302.743296,2126.089886,156330.3818,3304.787426,298408.6438,22.87878046,29.5419453,53.55799918
Busy_City_s024,29.9242,3.91873,18.9333,2.3901,31195.81667,167110.818,9005,1846152,1595.43799,15.59594914,1559.022188,1622.105556,165248.9338,3323.322909,315381.7896,23.59704856,34.50206194,57.50088501
Childs_Play_s000,32.5739,4.30521,43.7917,7.5541,94167.025,120055.2082,0,756866,1405.505257,559.7574962,0,1775.547818,142087.8381,3265.995387,273849.5778,21.37555092,21.62085256,47.85289333
Childs_Play_s001,28.8975,3.98623,26.3417,6.1078,96126.00833,346646.7246,9943,3717834,1741.765458,117.1729737,1495.423904,1841.485489,148618.5044,3286.324667,276977.7332,22.16333043,25.25292942,48.57956826
Childs_Play_s002,26.2859,3.9738,17.2083,4.1771,41826.10833,130345.607,7344,1451727,1746.845582,103.3328138,1533.199461,1836.413663,156143.3309,3306.974179,289159.1039,22.96351927,29.43791562,51.40931795
Childs_Play_s003,27.7973,10.4848,22.4167,11.0221,82373.8,163078.7031,40563,1856471,1638.162632,85.30665509,1379.693343,1712.741941,149546.4629,3291.321056,290213.91,22.35694542,25.76902018,51.65435091
Childs_Play_s004,19.9492,1.10352,11.0417,1.3305,16778.88333,75489.02397,2995,830146,1663.773726,62.83292881,1392.233875,1684.14033,168932.6047,3327.602214,305130.3269,23.76287585,36.55076193,55.11945569
Childs_Play_s005,19.8971,3.47611,10.975,2.1768,25402.68333,74400.88735,7480,831866,1678.130536,34.3117951,1574.070497,1719.362304,166928.3305,3324.989761,302145.0933,23.6616407,35.43607047,54.42598169
Childs_Play_s006,21.2154,2.02888,16.1583,3.1966,26494.09167,71504.88956,13690,805680,1889.924132,37.98698509,1690.256606,1941.523158,154716.9381,3292.323621,285206.7253,22.39579581,28.64461703,50.4911748
Childs_Play_s007,22.5966,2.1048,16.6583,3.0321,33058.04167,104415.3164,10993,1169190,1803.413152,114.7997926,1572.231077,1916.855234,154867.7587,3294.312382,283915.8485,22.47286224,28.728497,50.19130228
Childs_Play_s008,25.2435,1.82007,16.175,1.9556,37018.51667,125927.8305,14756,1410150,1712.873734,5.72196153,1703.901465,1731.971195,164313.3449,3319.929952,306167.6297,23.46556815,33.98172744,55.36042261
Childs_Play_s009,23.2676,5.35562,14.0333,4.2021,48079.65,126329.3903,17950,1420018,1653.354008,94.83938113,1415.413362,1718.31711,157570.9957,3305.915741,287687.7658,22.92250375,30.23192165,51.06752403
Childs_Play_s010,20.0896,11.3776,9.1583,7.69,59635.775,79719.34394,36548,924152,1663.932877,17.64025125,1637.318909,1713.722826,156690.0378,3308.887509,278050.414,23.03766269,29.74197055,48.82875353
Childs_Play_s011,20.5581,8.94209,9.9167,6.5313,41804.44167,81949.99042,17127,924984,1666.579271,16.61431356,1639.767427,1714.522164,159353.2801,3314.261948,286388.8431,23.24592747,31.22315188,50.76578244
Childs_Play_s012,20.6477,1.65305,9.9583,1.8795,21433.45833,94506.10773,4283,1048829,2423.888328,581.3442218,1551.521926,2903.987154,169820.5343,3329.308085,299188.6707,23.82898001,37.04459033,53.73920053
Childs_Play_s013,21.6254,3.38059,12.3667,2.9565,37602.15,91092.66596,5274,989438,2407.215483,562.4960924,1527.729767,2905.202926,160003.7103,3310.953067,280106.8064,23.11770507,31.58489329,49.3064564
Childs_Play_s014,24.7925,9.00207,17.9667,5.671,67264.93333,121509.5188,36265,1388030,1817.770342,13.54035245,1795.184477,1865.105611,151547.4601,3283.542353,269452.1273,22.05551306,26.88188911,46.83135934
Childs_Play_s015,25.0003,6.02037,18.2167,3.6344,49920.758,118356.236,14524,1330726,1796.185,11.96572051,1782.668629,1832.78491,155352.0999,3298.110193,282850.3969,22.62003111,28.99786682,49.94379638
Childs_Play_s016,27.9229,4.55198,18.1167,3.4503,41856.95,123447.023,18748,1386230,2448.070796,472.023091,1788.030375,2863.825743,150594.4571,3283.975386,273219.0564,22.07229352,26.35186967,47.70642232
Childs_Play_s017,30.2154,1.33038,18.0667,1.4266,42680.791,168846.21,20122,1884211,2830.483118,1.264604985,2827.667235,2832.433089,155941.441,3305.879045,290633.0152,22.92108176,29.3256331,51.75170962
Childs_Play_s018,30.1994,1.01936,18,1.2981,38898.925,167517.128,18651,1866074,2826.477628,0.939768555,2824.053939,2828.257869,156495.5121,3307.487987,291179.8568,22.98342983,29.63378374,51.87874172
Eldorado_s001,27.6226,6.35168,22.45,7.7836,129388.7333,387027.8529,40367,4253614,3239.146244,481.8109005,2824.139745,3968.119074,143605.9603,3275.443464,279222.7628,21.74167318,22.4651671,49.10109182
Eldorado_s002,34.8026,3.28015,31.0583,6.1072,155278.8417,407705.9447,56798,4526311,2632.199479,1400.628961,901.797233,3951.66482,141613.3036,3260.371896,284301.0063,21.15763516,21.35693679,50.28077498
Eldorado_s003,38.8134,17.7793,49.4417,25.3103,375429.3583,555998.8103,56499,5973003,1508.797322,122.102265,1277.943369,1819.401754,124144.3089,3187.186398,277712.3259,18.32162541,11.64143016,48.7502152
Eldorado_s004,58.5047,22.0686,85.2083,27.5187,650666.2417,659483.8492,316057,7723648,2085.309692,118.679075,1833.853081,2215.566117,113939.2753,3052.395315,267015.2606,13.09833889,5.965827566,46.26527177
Eldorado_s005,55.4637,3.40129,100.375,9.2266,412619.5417,1108819.613,196178,9617071,1616.657444,171.8063624,1525.081928,2216.030346,119704.8681,3113.654432,265593.003,15.47218968,9.172403337,45.9348793
Eldorado_s006,48.0681,4.40633,83.4417,10.4996,308996.4083,907947.5468,74664,10172647,1975.806453,364.4278532,1779.160269,2667.346712,126155.5141,3179.498243,277326.2823,18.02370186,12.75997636,48.66053671
Eldorado_s007,10.2709,6.93098,14.425,6.3716,81221.775,36784.27163,74078,481142,2728.838602,151.2877706,2613.190783,3106.195215,142339.8501,3240.901573,246588.0076,20.40314107,21.7610108,41.51999193
Eldorado_s008,11.3488,9.33052,15.2833,7.5488,100119.3417,40932.88318,82144,528914,2807.190936,282.4356433,2089.955435,3092.85793,138443.3011,3217.076365,235321.6311,19.4798909,19.59391719,38.9027967
Eldorado_s009,10.3548,13.0604,14.35,8.6934,100919.6917,23265.70729,73648,317309,2976.595712,288.9333479,2453.995872,3394.799802,135858.4,3208.529573,226883.3115,19.14869434,18.15630586,36.94256308
Eldorado_s010,34.4035,15.9688,47.5583,22.5972,329307.4917,180942.3866,0,613799,2068.866964,282.979313,1405.01712,2613.763391,114277.3037,2945.124758,179576.3705,8.941499696,6.153824484,25.95309364
Eldorado_s011,39.8074,19.0843,60.8917,28.4841,903527.15,543059.7576,0,4182745,2284.969745,340.2841722,1789.179241,2919.91038,104115.308,2714.382212,139939.0748,0,0.502157758,16.74529365
Eldorado_s012,48.4083,11.121,60.575,18.9295,1073360.25,831886.8027,0,5094999,3257.425243,255.0178973,2935.481303,3711.500762,103212.4018,2814.520748,131290.8123,3.880466352,0,14.73629002
Eldorado_s013,37.4185,14.1733,37.4667,23.6811,563273.8167,484849.4434,70616,3627420,3025.738984,644.3395356,1521.247549,3627.66907,111125.0281,3027.075086,163335.1006,12.11715521,4.400663815,22.18022361
Eldorado_s014,21.8987,16.3152,28.9083,33.0319,553983.9583,325834.5725,345764,3494130,2052.63989,1065.641257,1218.693968,3622.744396,111689.7176,2953.132799,112994.2217,9.251819137,4.714719904,10.48596609
Eldorado_s015,18.1429,14.0394,23.95,34.2602,471032.0583,36744.85727,403333,771195,1517.195204,123.9168849,1397.02156,1890.713169,116530.7943,2978.05585,101689.4781,10.21761179,7.407119447,7.859858112
Eldorado_s016,21.5666,13.834,27.225,34.3115,476725.0667,316263.6037,375472,3894504,1878.282698,904.1195112,1257.595494,3883.560082,115517.2181,2978.495694,101082.3791,10.23465619,6.843411784,7.718828161
Eldorado_s017,43.1053,7.30249,48.725,14.9092,493733.1083,366685.1746,425696,4489167,3857.468376,59.81095205,3746.095836,3935.700743,118385.3071,3071.14142,205072.0906,13.82476881,8.438520043,31.87578556
Eldorado_s018,30.9621,9.57236,35.9583,14.5351,331748.8083,402962.7836,127839,4367134,3280.71161,702.1388422,2331.228262,3959.70792,125605.8364,3123.917066,219626.0412,15.8698768,12.45426918,35.25668891
Eldorado_s019,27.8145,12.469,27.8083,13.2198,169085.5583,83056.68375,123545,1005671,3266.423022,71.35220886,2997.626843,3360.450994,140812.3263,3225.382553,299528.197,19.80176384,20.91146749,53.81807297
Eldorado_s020,17.5612,2.87196,18.1583,5.4785,100243.4917,268328.7268,0,2883027,1626.016977,901.7541452,1054.955739,3372.354737,146160.0985,3262.892265,276377.5747,21.25530193,23.88566938,48.44015059
Eldorado_s021,27.1819,2.14625,31.0417,4.2268,89694.375,152669.1438,0,1648155,1342.276687,97.38651013,1262.732549,1628.145372,146930.2377,3276.325642,297220.4643,21.77585843,24.31398781,53.2819834
Eldorado_s022,24.1177,1.73868,28.4417,3.4597,80541.45833,125017.3566,55054,1440194,1711.874254,34.22062608,1637.240551,1760.765443,149388.4915,3282.194138,302400.2585,22.00326839,25.68116327,54.48525693
Eldorado_s023,19.9672,10.2563,28.275,16.2259,149692.4333,225302.2419,52946,2259313,1320.349653,228.2645056,971.7424473,1653.181115,133824.8539,3167.222892,257001.6529,17.54802,17.02533466,43.93909649
Eldorado_s024,28.3589,20.4182,37.5,35.0469,276446.825,86595.2868,181687,1026981,1341.40116,188.7546553,944.9764992,1786.838206,119813.6774,2990.170084,217415.1552,10.6870502,9.232918411,34.74309695
Eldorado_s025,32.1871,19.3036,44.9583,33.5665,528328.575,311608.1966,256642,2791710,1308.85213,113.7628769,1116.046334,1497.492423,108122.6216,2778.314607,134967.9657,2.477442934,2.730853945,15.59049797
Eldorado_s026,24.2655,16.1879,40.4417,24.1716,341665.4583,275714.7992,216252,2413683,925.0369379,49.9024342,840.7478563,1167.559863,112408.3766,2829.03408,145804.6006,4.442872191,5.114407302,18.10786361
Eldorado_s027,21.5939,15.1735,34.725,22.2576,261271.425,133116.3945,185282,1636075,901.9928448,43.75005918,835.6336908,970.1720003,118379.2687,2948.265015,171760.4532,9.063187735,8.435161737,24.13744496
Eldorado_s028,24.3922,15.1568,37.0833,20.432,297093.6167,136467.7367,244988,1766567,756.2408333,31.50960025,700.1688229,842.1718496,116754.0416,2925.749697,166421.9708,8.190697101,7.531280037,22.89730793
Eldorado_s029,41.7106,21.2881,52.55,31.1111,484039.05,533548.4791,200609,5814146,936.4050949,100.6743797,734.1638118,1115.010897,116704.6044,3051.927339,216674.8548,13.08020436,7.503785158,34.57112413
Eldorado_s030,56.5509,13.1776,73.9917,19.1079,517986.225,796360.7592,158334,7174360,1416.605513,369.1995223,867.036823,1707.115447,116107.714,3084.548684,234909.257,14.34431345,7.171820274,38.80700161
Eldorado_s031,52.9428,12.1122,73.175,16.0255,407597.8583,532254.4458,347475,6212204,1771.583661,37.05904023,1708.995163,1833.486824,119542.9963,3108.610614,248422.9294,15.27673679,9.082377145,41.94624686
Eldorado_s032,54.6961,9.80965,76.025,14.0631,469655.7333,543758.4825,363088,6394675,1871.537729,18.9516409,1835.116263,1900.976224,119561.1995,3115.984656,246766.3484,15.56248813,9.092501016,41.56142075
Eldorado_s033,44.7519,4.38051,62.3583,10.2629,375695.775,600864.2795,17069,6644263,1366.204733,714.9513522,20.8275111,1923.075685,125023.8304,3170.999276,249665.7992,17.69435857,12.13058235,42.23496728
Eldorado_s034,70.5166,0.334728,33.375,2.0236,3781.375,7640.443473,0,63639,943.9289037,464.7605073,0,1224.143454,201131.9515,3347.235857,325033.8675,24.52369875,54.45865945,59.74307639
Fun_on_the_river_s000,26.868,4.89632,23.2583,6.7718,111995.1,34385.06022,0,170572,1543.359386,617.8648426,0,1889.675152,174759.3634,4071.45618,311336.2467,52.58794576,39.79135552,56.56109965
Fun_on_the_river_s002,19.4174,9.83799,18.4,25.1461,233115.8667,100331.4033,151026,1288761,1078.152234,209.8278393,930.3086881,2009.654084,125234.2152,3137.393628,123970.4072,16.39210676,12.24758938,13.03574954
Fun_on_the_river_s003,19.7092,10.1263,18.7417,26.1277,237672.2917,70074.21226,196411,974854,1070.700551,64.80042544,937.9260873,1196.433031,125593.6328,3145.191607,133123.8854,16.69428611,12.44748205,15.16211549
Fun_on_the_river_s004,26.2356,10.2037,26.675,24.0976,465754.725,151376.6771,177716,932753,1383.474269,274.4096476,843.2978744,1621.383961,117753.1211,3072.591127,105904.0166,13.8809464,8.086925251,8.838901379
Fun_on_the_river_s005,30.0923,12.6473,31.6417,30.7935,606665.2,116903.835,529590,1834633,1771.164226,104.9798173,1569.929253,1942.159303,113152.3055,3016.124773,92628.08966,11.69281986,5.528148665,5.754884736
Fun_on_the_river_s006,28.1464,15.8009,31.0167,41.3912,595067.475,152351.8065,457350,2149450,1915.576169,127.6401351,1617.984464,2040.044015,111905.3902,2990.851123,83777.444,10.71344116,4.834667777,3.698867204
Fun_on_the_river_s007,23.7185,12.0242,25.6333,28.8211,364393.8917,137824.0871,230848,1615121,1420.838318,133.2856113,1114.882679,1631.464559,118297.9492,3058.592474,112312.4809,13.33848486,8.389935291,10.32759672
Fun_on_the_river_s008,24.0546,10.7831,26.4667,28.1296,360045.8583,97387.47865,320519,1400235,1495.876591,25.09583179,1458.075421,1549.188721,119312.3615,3066.107359,120700.0608,13.62969401,8.954108001,12.27604343
Fun_on_the_river_s010,22.2452,15.6573,20.0167,61.7187,509554.4667,82365.72712,408196,913105,1052.419558,204.1706679,809.2157053,1427.265607,116645.7133,3083.131972,67854.73788,14.28941445,7.471032486,0
Fun_on_the_river_s011,23.1969,12.8471,24.2667,40.5659,461259.1333,183617.7095,202107,1443879,1423.090392,106.2854026,1168.238264,1560.548064,115243.2636,3036.67285,75529.96968,12.48907797,6.691049998,1.782967228
Fun_on_the_river_s012,24.4633,9.2532,26.4167,18.6038,289751.1667,105019.3615,262215,1428581,1560.291645,17.71311707,1525.081322,1598.23486,121900.9089,3102.130751,139355.8423,15.02563575,10.39374717,16.60980793
Fun_on_the_river_s013,23.2301,9.63219,25.575,21.8255,289751.1667,105019.3615,262215,1428581,1524.149287,107.567089,1268.146455,1601.966286,121266.6621,3092.456356,127018.924,14.65074348,10.04100625,13.74392431
Fun_on_the_river_s014,21.9975,16.208,21.2667,44.9584,407171.2667,68714.45636,342402,981251,1828.143462,93.84036387,1583.061467,2016.325578,116434.2188,3063.71254,102577.7169,13.53689245,7.353408261,8.066197247
Fun_on_the_river_s015,21.5881,13.3347,20.9583,36.0785,348728.8833,121854.4581,215611,1125832,1587.850519,132.8809799,1345.831245,1829.015465,118968.9989,3074.503725,94117.43436,13.95506142,8.763144385,6.100861623
Fun_on_the_river_s017,32.9284,19.1114,29.7583,46.7079,819942.3583,191299.921,512756,2413420,1576.568428,378.8303768,1076.796102,2443.713369,110629.7445,3037.324396,94375.466,12.51432599,4.12520828,6.160802738
Fun_on_the_river_s019,18.8467,13.461,17.65,36.0807,308987.9833,87908.16913,208562,870691,1137.845068,131.1731845,894.4732804,1331.101637,121393.2948,3113.651065,101343.0191,15.47205922,10.11143395,7.779375209
Fun_on_the_river_s020,20.2097,14.0991,20.0167,41.8311,392686.5917,111776.6017,259793,1077467,1178.650397,105.8723228,1022.385151,1380.605938,117799.4639,3073.230652,78169.7407,13.90572858,8.112699157,2.396189776
Fun_on_the_river_s021,20.3707,7.69046,18.3583,17.9185,172891.5083,89751.76121,117724,773547,1227.804346,114.9402288,902.1438428,1349.401687,129534.6687,3171.641612,156100.1627,17.71924971,14.6393174,20.49953728
Fun_on_the_river_s022,22.4915,6.05748,20.175,10.7158,131872.35,97493.59419,113867,1193910,1275.645228,14.73842423,1250.107027,1313.701247,134845.8404,3210.050294,208344.7951,19.20762378,17.5931636,32.63603946
Fun_on_the_river_s023,20.9304,9.22936,20.4667,21.7768,241174.6833,136427.8104,114944,1213287,1303.470641,165.3693611,990.5669711,1532.625458,123895.1703,3123.900547,139036.4933,15.86923668,11.50286993,16.5356227
Fun_on_the_river_s024,21.2982,12.8753,22.775,33.5633,375335.6417,73779.66398,333493,1152539,1460.168517,29.89818534,1394.442823,1509.364734,116375.0905,3041.178293,98596.21524,12.66366828,7.320523658,7.141288768
Fun_on_the_river_s025,21.1763,11.2385,22.85,30.8213,344080.35,83299.7851,209194,1036888,1380.523746,95.73558244,1144.508143,1484.301244,118590.5625,3064.791567,100325.7367,13.5787058,8.552674314,7.543059055
